commento,valutazione,tossicita,tipo_tossicita,age_group,gender,utente_id,comment_cleaned,emoji_set,emoji_count,parole_maiusc,pos_tag,nrc_affect_dict,nrc_raw_scores,nrc_top_emotions,nrc_affect_frequencies,comm_polarita,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,comment_tokenized,comment_tok=2,comment_tok=3,comment_lemmatized,VAD_valence,VAD_arousal,VAD_dominance
Lol i hope all your white imperialist shit holes burn in hell.,A little violent,1,4,1,0,2,lol hope white imperialist shit holes burn hell,set(),0,[],"[('lol', 'NNS'), ('hope', 'VBP'), ('white', 'JJ'), ('imperialist', 'NN'), ('shit', 'NN'), ('holes', 'NNS'), ('burn', 'VBP'), ('hell', 'NN')]","{'hope': ['anticipation', 'joy', 'positive', 'surprise', 'trust'], 'white': ['anticipation', 'joy', 'positive', 'trust'], 'shit': ['anger', 'disgust', 'negative'], 'hell': ['anger', 'disgust', 'fear', 'negative', 'sadness']}","{'anticipation': 2, 'joy': 2, 'positive': 2, 'surprise': 1, 'trust': 2, 'anger': 2, 'disgust': 2, 'negative': 2, 'fear': 1, 'sadness': 1}","[('anger', 0.11764705882352941), ('trust', 0.11764705882352941), ('positive', 0.11764705882352941), ('negative', 0.11764705882352941), ('disgust', 0.11764705882352941), ('joy', 0.11764705882352941), ('anticipation', 0.11764705882352941)]","{'fear': 0.058823529411764705, 'anger': 0.11764705882352941, 'anticip': 0.0, 'trust': 0.11764705882352941, 'surprise': 0.058823529411764705, 'positive': 0.11764705882352941, 'negative': 0.11764705882352941, 'sadness': 0.058823529411764705, 'disgust': 0.11764705882352941, 'joy': 0.11764705882352941, 'anticipation': 0.11764705882352941}",0.2,6.705000000000002,6.120000000000001,9.900041000000003,61.240000000000016,8.200000000000001,20.5,8.477225575051662,1.0,8.2918,"['lol', 'hope', 'white', 'imperialist', 'shit', 'holes', 'burn', 'hell']","[('lol', 'hope'), ('hope', 'white'), ('white', 'imperialist'), ('imperialist', 'shit'), ('shit', 'holes'), ('holes', 'burn'), ('burn', 'hell')]","[('lol', 'hope', 'white'), ('hope', 'white', 'imperialist'), ('white', 'imperialist', 'shit'), ('imperialist', 'shit', 'holes'), ('shit', 'holes', 'burn'), ('holes', 'burn', 'hell')]","['lol', 'hope', 'white', 'imperialist', 'shit', 'hole', 'burn', 'hell']",-0.377,0.2283333333333333,0.086
They deserve to go to jail.,A little violent,1,4,2,0,3,deserve go jail,set(),0,[],"[('deserve', 'NN'), ('go', 'VBP'), ('jail', 'NN')]","{'deserve': ['anger', 'anticipation', 'positive', 'trust'], 'jail': ['fear', 'negative', 'sadness']}","{'anger': 1, 'anticipation': 1, 'positive': 1, 'trust': 1, 'fear': 1, 'negative': 1, 'sadness': 1}","[('fear', 0.14285714285714285), ('anger', 0.14285714285714285), ('trust', 0.14285714285714285), ('positive', 0.14285714285714285), ('negative', 0.14285714285714285), ('sadness', 0.14285714285714285), ('anticipation', 0.14285714285714285)]","{'fear': 0.14285714285714285, 'anger': 0.14285714285714285, 'anticip': 0.0, 'trust': 0.14285714285714285, 'surprise': 0.0, 'positive': 0.14285714285714285, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.14285714285714285}",-0.1,1.313333333333336,0.4800000000000004,-0.1838763333333322,90.99000000000002,1.2000000000000002,36.333333333333336,3.0,1.0,3.7853,"['deserve', 'go', 'jail']","[('deserve', 'go'), ('go', 'jail')]","[('deserve', 'go', 'jail')]","['deserve', 'go', 'jail']",-0.0626666666666666,0.1833333333333333,0.0246666666666666
I hope you go to prison when you inevitably kill an innocent protestor by plowing your car thru them,A little violent,1,4,2,0,4,hope go prison inevitably kill innocent protestor plowing car thru,set(),0,[],"[('hope', 'NN'), ('go', 'VBP'), ('prison', 'NN'), ('inevitably', 'RB'), ('kill', 'VB'), ('innocent', 'JJ'), ('protestor', 'NN'), ('plowing', 'VBG'), ('car', 'NN'), ('thru', 'NN')]","{'hope': ['anticipation', 'joy', 'positive', 'surprise', 'trust'], 'prison': ['anger', 'fear', 'negative', 'sadness'], 'kill': ['fear', 'negative', 'sadness'], 'innocent': ['positive', 'trust']}","{'anticipation': 1, 'joy': 1, 'positive': 2, 'surprise': 1, 'trust': 2, 'anger': 1, 'fear': 2, 'negative': 2, 'sadness': 2}","[('fear', 0.14285714285714285), ('trust', 0.14285714285714285), ('positive', 0.14285714285714285), ('negative', 0.14285714285714285), ('sadness', 0.14285714285714285)]","{'fear': 0.14285714285714285, 'anger': 0.07142857142857142, 'anticip': 0.0, 'trust': 0.14285714285714285, 'surprise': 0.07142857142857142, 'positive': 0.14285714285714285, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.0, 'joy': 0.07142857142857142, 'anticipation': 0.07142857142857142}",0.25,11.91,10.417000000000002,14.755618700000008,27.48500000000002,16.0,50.0,12.486832980505138,4.0,8.391,"['hope', 'go', 'prison', 'inevitably', 'kill', 'innocent', 'protestor', 'plowing', 'car', 'thru']","[('hope', 'go'), ('go', 'prison'), ('prison', 'inevitably'), ('inevitably', 'kill'), ('kill', 'innocent'), ('innocent', 'protestor'), ('protestor', 'plowing'), ('plowing', 'car'), ('car', 'thru')]","[('hope', 'go', 'prison'), ('go', 'prison', 'inevitably'), ('prison', 'inevitably', 'kill'), ('inevitably', 'kill', 'innocent'), ('kill', 'innocent', 'protestor'), ('innocent', 'protestor', 'plowing'), ('protestor', 'plowing', 'car'), ('plowing', 'car', 'thru')]","['hope', 'go', 'prison', 'inevitably', 'kill', 'innocent', 'protestor', 'plow', 'car', 'thru']",-0.0285555555555555,0.0381111111111111,0.1829999999999999
You are sentenced to death for being a femboy,A little violent,1,4,2,0,4,sentenced death femboy,set(),0,[],"[('sentenced', 'VBN'), ('death', 'NN'), ('femboy', 'NN')]","{'death': ['anger', 'anticipation', 'disgust', 'fear', 'negative', 'sadness', 'surprise']}","{'anger': 1, 'anticipation': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1, 'surprise': 1}","[('fear', 0.14285714285714285), ('anger', 0.14285714285714285), ('surprise', 0.14285714285714285), ('negative', 0.14285714285714285), ('sadness', 0.14285714285714285), ('disgust', 0.14285714285714285), ('anticipation', 0.14285714285714285)]","{'fear': 0.14285714285714285, 'anger': 0.14285714285714285, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.14285714285714285, 'positive': 0.0, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.14285714285714285, 'joy': 0.0, 'anticipation': 0.14285714285714285}",0.0,9.180000000000003,11.470000000000006,13.535776000000006,34.59000000000002,14.533333333333331,36.333333333333336,8.477225575051662,1.0,10.675466666666663,"['sentenced', 'death', 'femboy']","[('sentenced', 'death'), ('death', 'femboy')]","[('sentenced', 'death', 'femboy')]","['sentence', 'death', 'femboy']",-0.823,0.482,-0.4805
Get a UTI and you’ll pee blood,A little violent,1,4,1,1,5,get uti pee blood,set(),0,['UTI'],"[('get', 'VB'), ('uti', 'JJ'), ('pee', 'NN'), ('blood', 'NN')]",{},{},"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]","{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",0.0,0.7199999999999989,-2.9450000000000003,-2.618145499999999,97.025,1.6,4.0,3.0,0.0,8.0934,"['get', 'uti', 'pee', 'blood']","[('get', 'uti'), ('uti', 'pee'), ('pee', 'blood')]","[('get', 'uti', 'pee'), ('uti', 'pee', 'blood')]","['get', 'uti', 'pee', 'blood']",-0.0613333333333333,0.2046666666666666,0.0953333333333333
They’re gonna get killed in prison,A little violent,1,4,1,1,5,going get killed prison,set(),0,[],"[('going', 'VBG'), ('get', 'VB'), ('killed', 'VBN'), ('prison', 'NN')]","{'prison': ['anger', 'fear', 'negative', 'sadness']}","{'anger': 1, 'fear': 1, 'negative': 1, 'sadness': 1}","[('fear', 0.25), ('anger', 0.25), ('negative', 0.25), ('sadness', 0.25)]","{'fear': 0.25, 'anger': 0.25, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.25, 'sadness': 0.25, 'disgust': 0.0, 'joy': 0.0}",-0.2,3.6700000000000017,4.120000000000001,6.201631000000006,75.87500000000001,1.6,4.0,3.0,0.0,3.8349,"['going', 'get', 'killed', 'prison']","[('going', 'get'), ('get', 'killed'), ('killed', 'prison')]","[('going', 'get', 'killed'), ('get', 'killed', 'prison')]","['go', 'get', 'kill', 'prison']",-0.0826666666666666,0.4166666666666667,0.1053333333333333
"""They deserve to be annihilated"" and you deserve to be catfished",A little violent,1,4,1,1,7,deserve annihilated deserve catfished,set(),0,[],"[('deserve', 'NN'), ('annihilated', 'VBD'), ('deserve', 'NN'), ('catfished', 'VBD')]","{'deserve': ['anger', 'anticipation', 'positive', 'trust'], 'annihilated': ['anger', 'fear', 'negative', 'sadness']}","{'anger': 3, 'anticipation': 2, 'positive': 2, 'trust': 2, 'fear': 1, 'negative': 1, 'sadness': 1}","[('anger', 0.25)]","{'fear': 0.08333333333333333, 'anger': 0.25, 'anticip': 0.0, 'trust': 0.16666666666666666, 'surprise': 0.0, 'positive': 0.16666666666666666, 'negative': 0.08333333333333333, 'sadness': 0.08333333333333333, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.16666666666666666}",0.0,21.370000000000008,20.605,26.781109500000007,-51.02499999999998,21.6,104.0,10.745966692414834,4.0,8.0934,"['deserve', 'annihilated', 'deserve', 'catfished']","[('deserve', 'annihilated'), ('annihilated', 'deserve'), ('deserve', 'catfished')]","[('deserve', 'annihilated', 'deserve'), ('annihilated', 'deserve', 'catfished')]","['deserve', 'annihilate', 'deserve', 'catfished']",-0.118,0.196,-0.0629999999999999
Atleast you will die 𝓢𝓱𝓲𝓷𝓮𝔂,Non violent,0,4,1,0,9,atleast die,set(),0,[],"[('atleast', 'NN'), ('die', 'NN')]","{'die': ['fear', 'negative', 'sadness']}","{'fear': 1, 'negative': 1, 'sadness': 1}","[('fear', 0.3333333333333333), ('negative', 0.3333333333333333), ('sadness', 0.3333333333333333)]","{'fear': 0.3333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.3333333333333333, 'disgust': 0.0, 'joy': 0.0}",0.0,2.890000000000004,3.120000000000001,-1.1951889999999956,77.90500000000002,0.8,52.0,3.0,1.0,7.9942,"['atleast', 'die']","[('atleast', 'die')]",[],"['atleast', 'die']",-0.427,0.199,-0.4629999999999999
Mexico? They'll just cut your head off.,A little violent,1,4,1,0,9,mexico cut head,set(),0,[],"[('mexico', 'NN'), ('cut', 'NN'), ('head', 'NN')]",{},{},"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]","{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",0.0,5.246666666666666,0.4800000000000004,-0.1838763333333322,62.790000000000006,14.533333333333331,3.0,8.477225575051662,0.0,5.412133333333332,"['mexico', 'cut', 'head']","[('mexico', 'cut'), ('cut', 'head')]","[('mexico', 'cut', 'head')]","['mexico', 'cut', 'head']",0.0199999999999999,-0.038,-0.0489999999999999
They will kill you.,A little violent,1,4,1,0,10,kill,set(),0,[],"[('kill', 'NN')]","{'kill': ['fear', 'negative', 'sadness']}","{'fear': 1, 'negative': 1, 'sadness': 1}","[('fear', 0.3333333333333333), ('negative', 0.3333333333333333), ('sadness', 0.3333333333333333)]","{'fear': 0.3333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.3333333333333333, 'disgust': 0.0, 'joy': 0.0}",0.0,-3.3999999999999986,-2.09,-21.86868,121.22,0.4,1.0,3.0,0.0,3.6861,['kill'],[],[],['kill'],0.0,0.0,0.0
